year,yearcode,countryname,countrycode,co2_gasfuel_kt,co2_liquidfuel_kt
2015,YR2015,Afghanistan,AFG,282.359,4741.431
2015,YR2015,Albania,ALB,62.339,3340.637
2015,YR2015,Algeria,DZA,78833.166,55562.384
2015,YR2015,American Samoa,ASM,,
2015,YR2015,Andorra,AND,0,465.709
2015,YR2015,Angola,AGO,1441.131,17080.886
2015,YR2015,Antigua and Barbuda,ATG,0,546.383
2015,YR2015,Argentina,ARG,98359.941,91623.662
2015,YR2015,Armenia,ARM,3773.343,821.408
2015,YR2015,Aruba,ABW,0,898.415
2015,YR2015,Australia,AUS,73809.376,117178.985
2015,YR2015,Austria,AUT,15749.765,30905.476
2015,YR2015,Azerbaijan,AZE,21950.662,11609.722
2015,YR2015,"Bahamas, The",BHS,0,2009.516
2015,YR2015,Bahrain,BHR,28261.569,3982.362
2015,YR2015,Bangladesh,BGD,48782.101,14701.003
2015,YR2015,Barbados,BRB,33.003,1140.437
2015,YR2015,Belarus,BLR,36266.63,16772.858
2015,YR2015,Belgium,BEL,31990.908,52683.789
2015,YR2015,Belize,BLZ,3.667,575.719
2015,YR2015,Benin,BEN,0,5060.46
2015,YR2015,Bermuda,BMU,0,557.384
2015,YR2015,Bhutan,BTN,0,458.375
2015,YR2015,Bolivia,BOL,7869.382,10124.587
2015,YR2015,Bosnia and Herzegovina,BIH,407.037,4257.387
2015,YR2015,Botswana,BWA,3.667,2519.229
2015,YR2015,Brazil,BRA,77241.688,317125.827
2015,YR2015,British Virgin Islands,VGB,0,212.686
2015,YR2015,Brunei Darussalam,BRN,4895.445,1646.483
2015,YR2015,Bulgaria,BGR,5944.207,11829.742
2015,YR2015,Burkina Faso,BFA,0,3197.624
2015,YR2015,Burundi,BDI,0,348.365
2015,YR2015,Cabo Verde,CPV,0,495.045
2015,YR2015,Cambodia,KHM,0,5559.172
2015,YR2015,Cameroon,CMR,942.419,6182.562
2015,YR2015,Canada,CAN,199946.842,269326.482
2015,YR2015,Cayman Islands,CYM,0,557.384
2015,YR2015,Central African Republic,CAF,0,293.36
2015,YR2015,Chad,TCD,0,902.082
2015,YR2015,Channel Islands,CHI,,
2015,YR2015,Chile,CHL,9119.829,44389.035
2015,YR2015,China,CHN,366949.356,1328664.11
2015,YR2015,Colombia,COL,23120.435,43959.996
2015,YR2015,Comoros,COM,0,168.682
2015,YR2015,"Congo, Dem. Rep.",COD,3.667,2636.573
2015,YR2015,"Congo, Rep.",COG,524.381,2357.881
2015,YR2015,Costa Rica,CRI,0,6439.252
2015,YR2015,Cote d'Ivoire,CIV,3861.351,5551.838
2015,YR2015,Croatia,HRV,4767.1,9024.487
2015,YR2015,Cuba,CUB,2390.884,26079.704
2015,YR2015,Curacao,CUW,275.025,6120.223
2015,YR2015,Cyprus,CYP,0,5727.854
2015,YR2015,Czechia,CZE,14847.683,19937.479
2015,YR2015,Denmark,DNK,6534.594,16593.175
2015,YR2015,Djibouti,DJI,0,539.049
2015,YR2015,Dominica,DMA,0,176.016
2015,YR2015,Dominican Republic,DOM,2027.851,16633.512
2015,YR2015,Ecuador,ECU,2867.594,36365.639
2015,YR2015,"Egypt, Arab Rep.",EGY,84219.989,112114.858
2015,YR2015,El Salvador,SLV,0,6351.244
2015,YR2015,Equatorial Guinea,GNQ,3516.653,935.085
2015,YR2015,Eritrea,ERI,0,594.054
2015,YR2015,Estonia,EST,894.748,491.378
2015,YR2015,Eswatini,SWZ,0,751.735
2015,YR2015,Ethiopia,ETH,0,8885.141
2015,YR2015,Faroe Islands,FRO,0,608.722
2015,YR2015,Fiji,FJI,0,2053.52
2015,YR2015,Finland,FIN,5122.799,20938.57
2015,YR2015,France,FRA,,
2015,YR2015,French Polynesia,PYF,0,766.403
2015,YR2015,Gabon,GAB,1019.426,2442.222
2015,YR2015,"Gambia, The",GMB,3.667,517.047
2015,YR2015,Georgia,GEO,4616.753,3219.626
2015,YR2015,Germany,DEU,149224.898,253774.735
2015,YR2015,Ghana,GHA,2442.222,12200.109
2015,YR2015,Gibraltar,GIB,0,579.386
2015,YR2015,Greece,GRC,6131.224,34161.772
2015,YR2015,Greenland,GRL,0,509.713
2015,YR2015,Grenada,GRD,0,260.357
2015,YR2015,Guam,GUM,,
2015,YR2015,Guatemala,GTM,0,10549.959
2015,YR2015,Guinea,GIN,0,2453.223
2015,YR2015,Guinea-Bissau,GNB,0,278.692
2015,YR2015,Guyana,GUY,0,1965.512
2015,YR2015,Haiti,HTI,0,2834.591
2015,YR2015,Honduras,HND,0,8874.14
2015,YR2015,"Hong Kong SAR, China",HKG,6087.22,10219.929
2015,YR2015,Hungary,HUN,17154.226,17095.554
2015,YR2015,Iceland,ISL,0,1635.482
2015,YR2015,India,IND,98994.332,599316.145
2015,YR2015,Indonesia,IDN,94329.908,219587.294
2015,YR2015,"Iran, Islamic Rep.",IRN,357063.124,224834.771
2015,YR2015,Iraq,IRQ,12995.848,121168.681
2015,YR2015,Ireland,IRL,8595.448,17645.604
2015,YR2015,Isle of Man,IMN,,
2015,YR2015,Israel,ISR,15771.767,21880.989
2015,YR2015,Italy,ITA,,
2015,YR2015,Jamaica,JAM,0,6908.628
2015,YR2015,Japan,JPN,229517.53,459471.433
2015,YR2015,Jordan,JOR,4008.031,19240.749
2015,YR2015,Kazakhstan,KAZ,62889.05,44774.07
2015,YR2015,Kenya,KEN,0,12530.139
2015,YR2015,Kiribati,KIR,0,62.339
2015,YR2015,"Korea, Dem. People's Rep.",PRK,0,2988.605
2015,YR2015,"Korea, Rep.",KOR,90116.525,173012.727
2015,YR2015,Kosovo,XKX,0,1954.511
2015,YR2015,Kuwait,KWT,39097.554,51378.337
2015,YR2015,Kyrgyz Republic,KGZ,524.381,4836.773
2015,YR2015,Lao PDR,LAO,0,2896.93
2015,YR2015,Latvia,LVA,2515.562,3766.009
2015,YR2015,Lebanon,LBN,0,21052.247
2015,YR2015,Lesotho,LSO,0,638.058
2015,YR2015,Liberia,LBR,0,1089.099
2015,YR2015,Libya,LBY,12742.825,33212.019
2015,YR2015,Liechtenstein,LIE,51.338,0
2015,YR2015,Lithuania,LTU,4734.097,7168.985
2015,YR2015,Luxembourg,LUX,1760.16,6761.948
2015,YR2015,"Macao SAR, China",MAC,3.667,1785.829
2015,YR2015,Madagascar,MDG,0,2471.558
2015,YR2015,Malawi,MWI,0,784.738
2015,YR2015,Malaysia,MYS,77274.691,77054.671
2015,YR2015,Maldives,MDV,0,1301.785
2015,YR2015,Mali,MLI,0,2852.926
2015,YR2015,Malta,MLT,0,1620.814
2015,YR2015,Marshall Islands,MHL,0,143.013
2015,YR2015,Mauritania,MRT,0,2464.224
2015,YR2015,Mauritius,MUS,0,2526.563
2015,YR2015,Mexico,MEX,148099.129,259088.218
2015,YR2015,"Micronesia, Fed. Sts.",FSM,0,143.013
2015,YR2015,Moldova,MDA,1683.153,2291.875
2015,YR2015,Monaco,MCO,,
2015,YR2015,Mongolia,MNG,0,3366.306
2015,YR2015,Montenegro,MNE,0,744.401
2015,YR2015,Morocco,MAR,2324.878,34106.767
2015,YR2015,Mozambique,MOZ,1741.825,3520.32
2015,YR2015,Myanmar,MMR,10857.987,10043.913
2015,YR2015,Namibia,NAM,0,3516.653
2015,YR2015,Nauru,NRU,0,47.671
2015,YR2015,Nepal,NPL,0,3142.619
2015,YR2015,Netherlands,NLD,65562.293,65103.918
2015,YR2015,New Caledonia,NCL,0,2819.923
2015,YR2015,New Zealand,NZL,9365.518,19196.745
2015,YR2015,Nicaragua,NIC,0,4983.453
2015,YR2015,Niger,NER,0,1668.485
2015,YR2015,Nigeria,NGA,32474.952,54205.594
2015,YR2015,North Macedonia,MKD,231.021,2783.253
2015,YR2015,Northern Mariana Islands,MNP,,
2015,YR2015,Norway,NOR,13985.938,28045.216
2015,YR2015,Oman,OMN,50619.268,9376.519
2015,YR2015,Pakistan,PAK,75474.194,77168.348
2015,YR2015,Palau,PLW,0,223.687
2015,YR2015,Panama,PAN,0,9094.16
2015,YR2015,Papua New Guinea,PNG,1822.499,5555.505
2015,YR2015,Paraguay,PRY,0,5694.851
2015,YR2015,Peru,PER,16259.478,27832.53
2015,YR2015,Philippines,PHL,6666.606,52001.727
2015,YR2015,Poland,POL,31550.868,58660.999
2015,YR2015,Portugal,PRT,9332.515,24777.919
2015,YR2015,Puerto Rico,PRI,,
2015,YR2015,Qatar,QAT,99537.048,2680.577
2015,YR2015,Romania,ROU,20425.19,23765.827
2015,YR2015,Russian Federation,RUS,834257.168,361679.877
2015,YR2015,Rwanda,RWA,11.001,850.744
2015,YR2015,Samoa,WSM,0,234.688
2015,YR2015,San Marino,SMR,,
2015,YR2015,Sao Tome and Principe,STP,0,113.677
2015,YR2015,Saudi Arabia,SAU,200661.907,415504.103
2015,YR2015,Senegal,SEN,47.671,6864.624
2015,YR2015,Serbia,SRB,4008.031,8496.439
2015,YR2015,Seychelles,SYC,0,491.378
2015,YR2015,Sierra Leone,SLE,0,905.749
2015,YR2015,Singapore,SGP,21411.613,38287.147
2015,YR2015,Sint Maarten (Dutch part),SXM,,
2015,YR2015,Slovak Republic,SVK,8885.141,7909.719
2015,YR2015,Slovenia,SVN,1521.805,6479.589
2015,YR2015,Solomon Islands,SLB,0,190.684
2015,YR2015,Somalia,SOM,0,630.724
2015,YR2015,South Africa,ZAF,9974.24,60721.853
2015,YR2015,South Sudan,SSD,0,1943.51
2015,YR2015,Spain,ESP,56200.442,136577.415
2015,YR2015,Sri Lanka,LKA,0,13751.25
2015,YR2015,St. Kitts and Nevis,KNA,0,234.688
2015,YR2015,St. Lucia,LCA,0,410.704
2015,YR2015,St. Martin (French part),MAF,,
2015,YR2015,St. Vincent and the Grenadines,VCT,0,220.02
2015,YR2015,Sudan,SDN,0,17968.3
2015,YR2015,Suriname,SUR,7.334,1639.149
2015,YR2015,Sweden,SWE,1657.484,27080.795
2015,YR2015,Switzerland,CHE,6530.927,26450.071
2015,YR2015,Syrian Arab Republic,SYR,7979.392,18760.372
2015,YR2015,Tajikistan,TJK,7.334,2533.897
2015,YR2015,Tanzania,TZA,1675.819,9009.819
2015,YR2015,Thailand,THA,86460.526,115173.136
2015,YR2015,Timor-Leste,TLS,0,502.379
2015,YR2015,Togo,TGO,73.34,1815.165
2015,YR2015,Tonga,TON,0,121.011
2015,YR2015,Trinidad and Tobago,TTO,40810.043,5027.457
2015,YR2015,Tunisia,TUN,11580.386,13582.568
2015,YR2015,Turkiye,TUR,90200.866,91535.654
2015,YR2015,Turkmenistan,TKM,48899.445,20128.163
2015,YR2015,Turks and Caicos Islands,TCA,0,205.352
2015,YR2015,Tuvalu,TUV,0,11.001
2015,YR2015,Uganda,UGA,0,4176.713
2015,YR2015,Ukraine,UKR,59691.426,29490.014
2015,YR2015,United Arab Emirates,ARE,134267.205,42020.153
2015,YR2015,United Kingdom,GBR,141322.513,166162.771
2015,YR2015,United States,USA,1484155.911,2132547.517
2015,YR2015,Uruguay,URY,95.342,6233.9
2015,YR2015,Uzbekistan,UZB,86016.819,7440.343
2015,YR2015,Vanuatu,VUT,0,132.012
2015,YR2015,"Venezuela, RB",VEN,46471.891,88965.087
2015,YR2015,Vietnam,VNM,20480.195,50963.966
2015,YR2015,Virgin Islands (U.S.),VIR,,
2015,YR2015,West Bank and Gaza,PSE,0,3006.94
2015,YR2015,"Yemen, Rep.",YEM,1895.839,9372.852
2015,YR2015,Zambia,ZMB,0,3003.273
2015,YR2015,Zimbabwe,ZWE,0,3626.663
,,,,,
,,,,,
,,,,,
,,,,,
